,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,
405,Speed related,,,,,,,,,,,,,,,,,,,,,,,,,
406,Speed related,,,,,,,,,,,,,,,,,,,,,,,,,
407,Speed related,,,,,,,,,,,,,,,,,,,,,,,,,
408,Speed related,Wet road,,,,,,,,,,,,,,,,,,,,,,,,
409,Speed related,,,,,,,,,,,,,,,,,,,,,,,,,
410,All,,,,,,,,,,,,,,,,,,,,,,,,,
411,All,,,,,,,,,,,,,,,,,,,,,,,,,
412,All,,,,,,,,,,,,,,,,,,,,,,,,,
413,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
414,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
415,Angle,Left turn,,,,,,,,,,,,,,,,,,,,,,,,
416,Rear end,,,,,,,,,,,,,,,,,,,,,,,,,
417,Rear end,,,,,,,,,,,,,,,,,,,,,,,,,
418,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
419,Rear end,,,,,,,,,,,,,,,,,,,,,,,,,
420,Vehicle/pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,
421,Vehicle/pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,
422,Vehicle/pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,
423,Vehicle/pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,
424,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
425,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
426,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
427,Nighttime,,,,,,,,,,,,,,,,,,,,,,,,,
428,All,,,,,,,,,,,,,,,,,,,,,,,,,
